#OK
#SQL= select x,y,z,fofID,centralMvir,stellarMass,type
#	  from millimil..DeLucia2006a    
#	 where snapnum=63    
#	   and stellarMass > 0.1
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2018-02-20 16:23:15.316 CET
#QUERYTIME 23 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=centralMvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=type JDBC_TYPE=4 JDBC_TYPENAME=int
#x,y,z,fofID,centralMvir,stellarMass,type
6.5757904,13.08604,25.33813,63000000000000,3600.9878,34.046864,0
6.511893,13.158967,25.357224,63000000000000,3600.9878,0.1720445,2
6.673644,13.117046,25.416761,63000000000000,3600.9878,1.5714737,2
6.524194,13.076276,25.291365,63000000000000,3600.9878,0.1392005,2
6.7763352,13.197627,25.33637,63000000000000,3600.9878,0.25489083,2
6.497954,13.136607,25.824892,63000000000000,3600.9878,0.116172604,2
6.601166,12.981268,25.310621,63000000000000,3600.9878,0.14416315,2
6.4268265,13.189083,25.296894,63000000000000,3600.9878,0.33027825,2
6.838457,12.932215,25.408209,63000000000000,3600.9878,0.14171869,2
6.3065443,13.341836,25.269121,63000000000000,3600.9878,0.2935345,2
6.640234,13.058291,25.308228,63000000000000,3600.9878,0.6757881,2
6.7639184,13.055368,25.32715,63000000000000,3600.9878,0.20510964,2
5.889189,13.431402,24.591412,63000000000000,3600.9878,0.106091805,2
6.788713,12.922061,25.559887,63000000000000,3600.9878,0.12610687,2
6.592991,12.921183,25.595922,63000000000000,3600.9878,0.15222906,2
6.7778835,12.902764,25.494354,63000000000000,3600.9878,0.12372606,2
5.8486543,13.177337,24.97483,63000000000000,3600.9878,1.188176,2
5.7591586,13.137147,25.132362,63000000000000,3600.9878,0.422839,2
6.3716207,13.655152,24.129566,63000000000000,3600.9878,0.19983594,2
6.6143193,12.960161,25.38841,63000000000000,3600.9878,0.2789698,2
6.4412456,13.029023,25.567997,63000000000000,3600.9878,0.30688518,2
6.4630604,13.333509,25.447355,63000000000000,3600.9878,0.25825676,2
6.284116,13.28037,25.166859,63000000000000,3600.9878,0.95809966,2
6.681049,13.132934,25.330631,63000000000000,3600.9878,2.6451788,2
6.1970105,13.347944,25.379772,63000000000000,3600.9878,0.8031065,2
6.7974668,12.977643,25.206953,63000000000000,3600.9878,0.36898997,2
6.7426863,12.603387,26.261282,63000000000000,3600.9878,6.739514,1
6.7261343,13.017493,25.28265,63000000000000,3600.9878,5.80768,1
6.688758,13.360229,24.76162,63000000000000,3600.9878,0.8957737,1
6.5533986,13.342633,24.327013,63000000000000,3600.9878,0.46711287,1
6.2986073,12.441648,25.305798,63000000000000,3600.9878,0.26618287,1
6.4785914,13.441861,24.872465,63000000000000,3600.9878,0.3269139,1
5.726388,13.056674,24.987638,63000000000000,3600.9878,0.12609415,1
5.943191,12.976854,25.729729,63000000000000,3600.9878,0.99006456,1
6.281155,13.322134,25.006897,63000000000000,3600.9878,0.22225687,1
6.4853973,13.378172,24.886988,63000000000000,3600.9878,0.3736708,1
6.0033836,13.153855,25.307226,63000000000000,3600.9878,0.5305844,1
6.6564484,13.517336,24.491621,63000000000000,3600.9878,0.3018353,1
6.487301,13.333289,24.985472,63000000000000,3600.9878,0.3378877,1
6.331531,13.440945,24.288288,63000000000000,3600.9878,0.19195347,1
6.4308305,13.214882,24.699095,63000000000000,3600.9878,0.51670396,1
6.7058997,13.148487,25.324734,63000000000000,3600.9878,0.25681087,1
6.013805,12.9845495,24.686396,63000000000000,3600.9878,0.14794864,1
6.1012344,13.389197,24.624048,63000000000000,3600.9878,0.745344,1
6.6922693,12.622392,26.33323,63000000000000,3600.9878,0.4628809,1
6.648906,12.581295,26.292688,63000000000000,3600.9878,0.24660084,1
6.988715,13.438362,24.248968,63000000002080,1.9795104,0.18390048,0
7.2794914,12.296303,26.813946,63000000002079,3.18443,0.17426501,0
7.5686398,12.4697485,25.339645,63000000001003,10.758209,0.93386316,0
7.4400873,13.423687,25.53863,63000000002723,2.9262328,0.11471289,0
7.211715,12.743692,26.260231,63000000001448,2.7541015,0.13995084,0
6.531279,12.753905,24.382233,63000000002184,4.6475463,0.26741642,0
6.722421,13.733762,25.182909,63000000002905,2.4098387,0.1314999,0
7.049538,13.067788,26.209362,63000000001429,6.799188,0.16460486,0
31.207897,24.540237,3.2677135,63000000000030,2390.6462,14.91504,0
31.293419,24.540358,3.3608916,63000000000030,2390.6462,0.10738375,2
31.0912,24.529297,3.200819,63000000000030,2390.6462,0.1117359,2
31.243824,24.700953,3.251944,63000000000030,2390.6462,0.10869374,2
31.451231,24.192142,3.408294,63000000000030,2390.6462,0.34737855,2
31.226692,24.564995,3.2547715,63000000000030,2390.6462,2.1819775,2
31.330938,24.820677,3.3288906,63000000000030,2390.6462,1.2743261,2
31.255335,24.532423,3.3859575,63000000000030,2390.6462,0.23226148,2
31.317324,24.418612,3.2946134,63000000000030,2390.6462,0.45738232,2
31.318596,24.475777,3.3488555,63000000000030,2390.6462,1.0909735,2
31.170294,24.658133,3.1500785,63000000000030,2390.6462,0.12104058,2
31.282154,25.007658,3.2338595,63000000000030,2390.6462,0.15044463,2
31.067163,24.96531,3.1950994,63000000000030,2390.6462,0.47518674,2
30.896029,24.747025,3.094503,63000000000030,2390.6462,0.21768871,2
30.843868,24.749208,3.164489,63000000000030,2390.6462,0.104860485,2
31.092333,24.02184,3.4933748,63000000000030,2390.6462,0.4190548,2
31.073738,24.28265,3.524483,63000000000030,2390.6462,0.19131932,2
31.230112,24.751255,2.984256,63000000000030,2390.6462,2.3509383,2
31.317379,24.24325,3.5375717,63000000000030,2390.6462,0.165039,2
31.460484,25.244999,2.862277,63000000000030,2390.6462,12.657484,1
31.23925,24.913029,2.8354678,63000000000030,2390.6462,5.0677495,1
31.279255,24.914316,2.7717192,63000000000030,2390.6462,0.14527202,2
31.255018,25.075745,2.7513895,63000000000030,2390.6462,0.10605667,2
31.014856,24.450205,3.3950002,63000000000030,2390.6462,2.9198427,1
31.506052,24.968332,3.4804955,63000000000030,2390.6462,2.4298065,1
30.943426,24.409712,3.8468184,63000000000030,2390.6462,1.114386,1
30.690317,24.449318,3.4515553,63000000000030,2390.6462,1.2520084,1
31.29827,24.328886,3.4226646,63000000000030,2390.6462,3.4306307,1
30.942196,24.317364,3.5095742,63000000000030,2390.6462,2.9316823,1
30.871784,24.0656,2.8631911,63000000000030,2390.6462,0.79457474,1
31.244204,24.95838,2.901425,63000000000030,2390.6462,1.9874634,1
31.485716,24.488277,3.2323954,63000000000030,2390.6462,1.2055331,1
31.56321,24.68346,3.8007197,63000000000030,2390.6462,0.86498755,1
31.57199,24.202133,3.1894822,63000000000030,2390.6462,0.56973064,1
